code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
143974.SH,18铁投Y1,777.52(20180930),1195(20171231),1141.69(20170630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143975.SH,18兵装Y1,665.5(20171231),2289(20170331),379(20160331),1575(20151231),305(20141231),1495(20140930),305(20131231),310(20130930),310(20130630),310(20130331),1048(20120930),1048(20120331),1048(20110930),1048(20110630),1003(20100930),1023(20100331),703(20090930),665(20081231),495(20080717),335(20061231),,,,,,,,,,,,,,,,,,,,,,,
143976.SH,18建五Y1,1180.97(20180930),872.26(20180331),794.3767(20171231),755.5(20170930),629(20170331),480(20160331),468.1(20150930),398(20150331),370.3983(20140630),348.55(20140331),322.77(20130930),307.78(20130630),288.97(20130331),256.91(20120930),231.8(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,
143977.SH,18沪建Y1,1429.515705(20180331),2005(20170331),1912.7648(20160930),1791.79(20160331),1689.4483(20150930),1621.9917(20150630),1565.4196(20150331),1665.42(20141231),1384.65(20131231),1269.9(20121231),1126.2484(20120630),1079.8785(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143978.SH,18铁建Y3,10885.72(20180630),10600.72(20171231),10074.92(20161231),9512(20160331),8731.87(20151231),7683(20141231),7551(20131231),7230(20130331),5696(20121231),6751.94(20120930),5763(20120331),5763(20111231),5763(20110331),4663(20101231),4786(20100331),4741.23(20091231),2285.31(20081231),533.74(20070531),314.6(20060731),,,,,,,,,,,,,,,,,,,,,,,,
143979.SH,18阳煤Y2,172.41(20180930),170.31(20180630),165.87(20180331),170.07(20170930),206.3358(20150930),160.1208(20150331),150.1208(20140930),8(20081231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143980.SH,18建材Y1,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
143981.SH,18建材Y2,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
143982.SH,18电投Y1,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
143983.SH,18电投Y2,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
143984.SH,18建二Y1,676.97(20180930),609.11(20171231),580.889584(20170930),556.1(20170331),455.84(20160331),392.04(20150331),290(20140331),269.6649(20130930),269.6649(20130630),256(20130331),230.0698(20120930),220.0968(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143989.SH,18中关Y1,763(20180331),717.8(20171231),626.92(20170630),480.5(20161231),428.83(20160630),458.65(20160331),447.52(20150331),99.4(20141231),404.27(20140630),357.71(20130930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143990.SH,18铁投Y2,777.52(20180930),1195(20171231),1141.69(20170630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143991.SH,18铁投Y3,777.52(20180930),1195(20171231),1141.69(20170630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143992.SH,18华电Y1,2602(20180930),2602(20180630),2594(20180331),2594(20171231),2592(20170930),2423(20170630),2533(20170331),2513(20161231),2821(20151231),2510.87(20150930),2120.02(20150331),2120.02(20141231),1818.2(20140930),1818.2(20140331),1796(20131231),1803(20130930),1696(20130630),1672(20130331),1620(20121231),1717(20120930),1770.26(20120630),1778(20120331),1749(20111231),1723.08(20110930),1609.62(20110331),1403.87(20100930),1316.83(20100331),968(20090630),695.25(20080930),,,,,,,,,,,,,,
143993.SH,18华电Y2,2602(20180930),2602(20180630),2594(20180331),2594(20171231),2592(20170930),2423(20170630),2533(20170331),2513(20161231),2821(20151231),2510.87(20150930),2120.02(20150331),2120.02(20141231),1818.2(20140930),1818.2(20140331),1796(20131231),1803(20130930),1696(20130630),1672(20130331),1620(20121231),1717(20120930),1770.26(20120630),1778(20120331),1749(20111231),1723.08(20110930),1609.62(20110331),1403.87(20100930),1316.83(20100331),968(20090630),695.25(20080930),,,,,,,,,,,,,,
143994.SH,18电力Y3,2827.89(20180331),2740.27(20171231),2664.48(20170930),2921.14(20161231),2889(20160630),2884(20160331),2900(20151231),2810(20141231),2343(20131231),1982.61(20130630),1982(20130331),1979(20121231),1929.48(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143995.SH,18福新Y1,847.85(20180930),847.85(20180630),867.33(20180331),817.47(20170930),807.89(20170630),1029.56(20161231),992(20160630),759.7(20160331),692.58(20141231),576.2(20140930),496.14(20140630),496.14(20140331),605.23(20131231),466.14(20130331),476(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,
143996.SH,18福新Y2,847.85(20180930),847.85(20180630),867.33(20180331),817.47(20170930),807.89(20170630),1029.56(20161231),992(20160630),759.7(20160331),692.58(20141231),576.2(20140930),496.14(20140630),496.14(20140331),605.23(20131231),466.14(20130331),476(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,
143997.SH,18山招Y2,240.6(20180930),455.13(20180630),561.35(20180331),506.03(20170930),497.41(20170331),436.94(20160930),462.74(20160630),374.76(20160331),341.753086(20150930),331.23(20150630),299.23(20150331),286.42(20140331),60.53(20130331),165.92(20120331),68.0394(20080930),35.32(20061231),,,,,,,,,,,,,,,,,,,,,,,,,,,
143998.SH,18建材Y3,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
143999.SH,18建材Y4,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
155001.SH,18红美01,369.4905(20180930),334.3405(20180630),277.369556(20180331),279.03(20171231),66.35(20161231),191.778(20151231),211.6454(20150630),265.66(20150331),173.6(20140331),149.9991(20130331),150(20120630),121.9734(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155003.SH,18都城01,304.76(20180630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155005.SH,18金诚01,18.95(20180630),16.95(20180331),13.95(20170331),10.25(20160930),9.65(20160630),12.9(20160321),12.9(20150930),12.9(20150630),12.8(20150331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155006.SH,18上药01,725(20180630),509(20171231),441(20161231),462(20151231),500(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155007.SH,18宜华03,134.401625(20180630),127.67(20180331),131.22(20171231),119.526132(20170930),118.855178(20170331),118.86(20161231),81.264001(20160930),62.22(20160630),58.95(20160331),47.65(20151231),45.8643(20151215),45.85(20150930),56.77(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155009.SH,18远海05,9646(20180930),9527(20180331),9527(20171231),9485(20170930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155010.SH,18龙湖06,1110.9(20180630),1110.9(20180331),1110.9(20171231),910(20170930),910(20170630),795(20161231),590(20160630),590(20151231),680(20150930),680(20150630),580(20141231),183.75(20080930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155012.SH,18广核01,10969(20181231),10840(20180930),10747.62(20180630),10285(20180331),10015(20170331),9528(20160930),9859(20160630),8425(20160331),7174.97(20150930),7174.97(20150331),6771.7(20131231),8185.41(20130630),8185.41(20130331),8185.41(20121231),7500(20120930),5795.18(20111231),6407.08(20110930),5795.18(20101231),3439.9(20100331),3439.9(20090930),3439.9(20090331),3439.9(20081231),3435(20080930),3300(20070401),2300(20061231),,,,,,,,,,,,,,,,,,
155013.SH,18中租二,701.26(20180930),716.86(20171231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155014.SH,18铁龙01,20(20180630),20(20180331),15(20161231),15(20151231),15(20150630),15(20131231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155015.SH,18电投10,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
155016.SH,18电投11,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
155017.SH,18鲁商02,395.23(20180930),401.87(20180831),401.87(20180630),399.97(20180331),403.82(20180131),403.82(20170930),352.15(20170630),352.15(20170331),349.48(20160930),344.48(20160630),408.96(20160331),376.58(20150930),352.64(20150331),326.64(20140930),326.64(20140630),326.64(20140331),314.74(20130930),314.74(20130630),267.55(20130331),267.65(20120930),267.65(20120630),246.65(20110930),233.17(20110331),161.9217(20100331),97.19(20090331),21.28(20070630),21.18(20051231),,,,,,,,,,,,,,,,
155018.SH,18邮政01,1490(20180630),1370(20171231),612.34(20170331),612.34(20161231),628.34(20160930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155019.SH,18浙商01,369.52(20180630),308.82(20171231),299.59(20161231),188.1(20151231),171.6(20150331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155022.SH,18实业08,1588.9662(20180930),1593.9714(20180630),1617.4309(20180331),1827.9379(20170930),1850.2782(20170331),1882.69(20160930),1254.0837(20160331),1195.2176(20151231),1234.249172(20150930),1039.7435(20150630),1138.68(20150331),1073(20150228),1031.2991(20140930),800.4232(20140630),803.9137(20140331),594.2043(20130331),637.1168(20120930),71(20091231),,,,,,,,,,,,,,,,,,,,,,,,,
155024.SH,18台纾01,81.582(20180930),73(20180331),60.07(20170930),55(20170630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155025.SH,18光大01,5776.39(20180930),5352.59(20180630),5155.28(20180331),5029.6919(20171231),2836.56(20170331),2899.4009(20161231),2699.1(20160930),2318.13(20160331),1796.0284(20151231),2417.0478(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155026.SH,18沪资03,83.9(20180630),83.9(20180331),84.78(20170930),81.5(20170331),85.25(20160930),82.7(20160331),82.7(20151231),87.7(20150331),68.7(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155027.SH,18杭机01,53(20180630),46.8(20160331),74(20150831),54(20150331),51(20140331),59.7(20121231),48.4(20120630),49.7(20120331),54(20111231),52.4(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155028.SH,18闽纾债,359.5049(20180930),359.5049(20180630),351.9623(20180331),310.875(20170930),339.675(20170630),337.5776(20170331),315.3553(20160930),296.4553(20160630),362.766(20160331),342.766(20150930),198.326(20150630),202.326(20150331),133.22(20141231),129.72(20140930),129.516(20140630),103.816(20140331),98.21(20131231),110.606(20130930),134(20130331),98.8955(20120930),55.8955(20120630),63.0955(20120331),87.4263(20110930),85.4461(20110630),84.5505(20100930),104.06(20090831),,,,,,,,,,,,,,,,,
155029.SH,18青城05,1036.177926(20180930),962.019747(20180630),1010.588038(20180331),823.308196(20170930),741.32(20170630),621.22321(20170331),299.123(20150930),160.1234(20150331),90.8593(20140331),248.8(20131231),73.9534(20130630),83.8(20130331),92.6033(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155030.SH,18三友03,198.8792(20180630),199.69(20180331),199.895(20171231),193.5445(20170930),188.7835(20170630),192.86(20170331),183.2995(20151231),163.0697(20150630),170.86(20150331),134.31(20140331),142(20130331),121.0782(20120930),15.07(20090630),12.6(20060331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155032.SH,18中铝03,1886.80683(20180930),1835(20180630),1597.886852(20180331),1034(20171231),1521.35(20170930),1342.35(20161231),1521(20160930),1521.35(20160630),1384(20151231),1421(20150331),1376.5(20140930),1377(20140630),1366(20140331),1365.96(20131231),1585.52(20130930),1516(20130331),1516(20121231),1536(20120930),1092(20120331),1005.2(20111231),948.72(20110930),952.06(20110331),967.06(20101231),886.64(20100331),817.97(20090930),517.21(20080630),497.64(20071231),625.19(20071130),500.82(20061231),438(20061031),376.72(20060428),328.98(20050609),,,,,,,,,,,
155033.SH,18中铝04,1886.80683(20180930),1835(20180630),1597.886852(20180331),1034(20171231),1521.35(20170930),1342.35(20161231),1521(20160930),1521.35(20160630),1384(20151231),1421(20150331),1376.5(20140930),1377(20140630),1366(20140331),1365.96(20131231),1585.52(20130930),1516(20130331),1516(20121231),1536(20120930),1092(20120331),1005.2(20111231),948.72(20110930),952.06(20110331),967.06(20101231),886.64(20100331),817.97(20090930),517.21(20080630),497.64(20071231),625.19(20071130),500.82(20061231),438(20061031),376.72(20060428),328.98(20050609),,,,,,,,,,,
155035.SH,18柳投控,444.8054(20180930),471.59(20180630),472.58529(20180331),572.20039(20170930),606.65039(20170630),567(20170331),526.47(20160930),238.35(20160630),211.07(20150331),60.74(20141231),164.5136(20120630),166(20111231),170.2136(20110630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155036.SH,18电投12,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
155037.SH,18电投13,14324.44(20180930),11250.882(20180630),14025.61(20180331),14025.61(20180330),13434(20170930),11857.87(20170630),12510.89(20170331),12530.23(20161231),12230(20160930),12230(20160630),12065.48(20160331),7532.83(20151231),7532.83(20150930),1184.5(20150331),1470.5(20140930),5608(20140331),5584(20130331),5500(20120930),5226(20110930),4850(20110331),4800(20100930),4786(20100331),4300(20090630),4300(20090331),4121(20080930),1990(20080428),2050(20071231),2798(20070228),1948(20060313),,,,,,,,,,,,,,
155039.SH,18粤桥02,1256.75(20180930),1271.35(20180331),1226.66(20170930),903.53(20170331),664.87(20160630),670.1(20160331),576.23(20141231),514.8(20131231),454.87(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155040.SH,18高新01,65.5(20180630),45.5(20180331),47.5(20171231),33.2(20170630),20.02(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155041.SH,18远高01,16.79(20180930),12.13(20180630),16.99(20180331),12.99(20170930),13.2195(20160930),12.9995(20160630),13.17(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155042.SH,18锦江02,1135.6(20180630),1015.2(20171231),1035.2(20170930),935.2(20170331),912.9(20160630),902.9(20160331),533.1(20150930),211.7(20150331),211.7(20140930),192.7(20140331),142.2(20130331),111.483(20120930),104.48(20120331),51(20100930),38.7(20100331),44(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,
155043.SH,18复星05,2458.5678(20180930),2174.2996(20180630),2028.7238(20180331),2079.5167(20170930),2099.0178(20170630),2006.3989(20170331),1803.212(20161231),1645.4838(20160930),1954.7619(20160630),1799.3187(20151231),1301.9181(20150930),1078.42(20150630),1034.46(20141231),1093.3357(20140930),1008.0259(20140331),1008.03(20131231),871.97(20121231),642(20111231),610.5(20101231),547.6(20091231),,,,,,,,,,,,,,,,,,,,,,,
155044.SH,18元禾02,48.9(20180930),57.04(20180331),53.95(20171231),52.26(20170331),35.15(20160331),40.92(20151231),42.75(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155045.SH,18豫园01,227.9193(20180630),225.22(20180331),225.37(20171231),208.0232(20170930),190.24(20170630),231.67(20170331),183(20161231),175(20160630),148.51(20151231),27.25(20150930),26.65(20150630),48.46(20140930),33.01(20121231),34.41(20120331),34.41(20111231),37.71(20110331),32.31(20101231),28.98(20070930),31.28(20070630),,,,,,,,,,,,,,,,,,,,,,,,
155049.SH,18齐鲁02,2936.94(20180930),2646.39(20180630),2043.61(20180331),1661.4(20170630),1092.14(20170331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155051.SH,18迈科02,187.8(20180630),140.24(20180331),135.59(20170930),100.35(20170331),100.35(20161231),95.2306(20150930),93.2306(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155052.SH,18南航01,2611.1(20180930),2611.1(20180630),1819.22(20171231),1392.74(20161231),1737.39(20151231),1841.5(20150930),1841.5(20150630),1330(20130930),1649.5(20120930),839(20080430),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155053.SH,G18首股,373.9126(20180930),337.86(20180630),338.4626(20180331),301.46(20171231),313.1832(20170930),274.2(20170331),241.511(20161231),337.9(20160930),201.8(20160331),250(20151231),117.7(20150331),112.7(20140930),103.7(20140331),104.8(20130331),100.9(20120331),111.9(20110331),99.4(20100930),92.07(20090930),59(20071231),48(20060831),53(20051013),53(20050331),,,,,,,,,,,,,,,,,,,,,
155054.SH,18国药01,1280.779174(20180930),1109.6834(20180630),1109.6834(20180331),1082(20171231),1143.6736(20170930),1098.7171(20170331),937(20161231),906.872(20160630),893.542271(20160331),836.1285(20150930),827.1225(20150331),788.7796(20141231),723.2015(20140331),732.5(20131231),612.44(20130331),423.32(20120630),401(20120331),250(20110331),196.08(20100930),,,,,,,,,,,,,,,,,,,,,,,,
155055.SH,18津投11,5081.3454(20180930),5424.73(20180630),5439.87(20180331),5549.31(20170930),5568.62(20170630),5569.26(20170331),5178.53(20160930),4995.94(20160630),4632.02(20160331),3820.19(20150930),3626.65(20150630),3538(20150331),3504.91(20140930),3671.02(20140331),4065.94(20130930),4068.79(20120930),3170.14(20110930),2885.26(20101231),3809.89(20100930),3707.02(20090930),987.88(20071231),,,,,,,,,,,,,,,,,,,,,,
155056.SH,18津投12,5081.3454(20180930),5424.73(20180630),5439.87(20180331),5549.31(20170930),5568.62(20170630),5569.26(20170331),5178.53(20160930),4995.94(20160630),4632.02(20160331),3820.19(20150930),3626.65(20150630),3538(20150331),3504.91(20140930),3671.02(20140331),4065.94(20130930),4068.79(20120930),3170.14(20110930),2885.26(20101231),3809.89(20100930),3707.02(20090930),987.88(20071231),,,,,,,,,,,,,,,,,,,,,,
155057.SH,G18龙源2,2689(20180930),2689(20180630),2000(20171231),1990(20170930),1990(20170630),2000(20170331),2000(20161231),2000(20160630),2000(20160331),2000(20150930),2000(20150630),2000(20150331),1600(20140930),1600(20140331),1560(20131231),2000(20121231),289.5(20111231),1000(20091231),309.59(20090331),,,,,,,,,,,,,,,,,,,,,,,,
155058.SH,18京能01,700.557135(20180930),687.12(20180630),724.64(20180331),724.947547(20170930),688.2074(20170331),82(20161231),625.035(20160930),82.5(20160331),62.5(20151231),74(20150930),269.065(20150331),170.376(20110930),32.4(20090930),22.6(20080930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155059.SH,18镇投01,92.756411(20180930),88.328411(20180630),82.393411(20180331),79.934(20170930),79.114(20170630),71.114(20170331),55.227(20160930),58.4698(20160331),59.46(20150630),59.46(20150331),53.74(20140331),50.83(20130331),56.92(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155060.SH,18联想03,1098(20170630),1173(20160630),1143(20151231),975(20141231),949.8(20131231),801.3(20121231),582.3(20111231),248.3(20101231),97.5(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155061.SH,18富力08,1979.11(20180930),1969.11(20180630),1943.11(20180331),1634.61(20171231),1502(20170930),1166(20170331),1166(20161231),1142.01(20160930),1062.01(20160630),966.99(20151231),605.98(20150930),605.98(20150630),546(20141231),306.1(20090630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155063.SH,18渝信03,329.34(20180630),170.68(20171231),151.5(20170930),169.15(20161231),173.15(20160930),135.85(20160630),144.96(20151231),166.03(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155065.SH,18三福01,80.76(20180630),80(20171231),80.01(20170630),80.01(20161231),80.61(20150331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155066.SH,18中储02,63.45625(20180930),69.55(20180630),46(20180331),63.23(20171231),54.73(20161231),44.8(20151231),76.5(20141231),93.6(20131231),99.6(20121231),99.8(20120331),99.8(20111231),31.9(20060228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155067.SH,18复药02,421.554582(20180930),383.73(20180331),356.61(20171231),249.31(20161231),206.06(20160930),193.928982(20151231),177.065471(20150930),176.79(20150630),165.7462(20150331),153.3(20141231),153.3021(20140930),121.6(20140430),121.5987(20140331),118.28(20131231),73.7728(20120630),79.9(20120331),81.1357(20111231),84.31(20110630),83.0686(20101231),65.4761(20100630),60.17(20091231),25.3(20080430),,,,,,,,,,,,,,,,,,,,,
155068.SH,18复药03,421.554582(20180930),383.73(20180331),356.61(20171231),249.31(20161231),206.06(20160930),193.928982(20151231),177.065471(20150930),176.79(20150630),165.7462(20150331),153.3(20141231),153.3021(20140930),121.6(20140430),121.5987(20140331),118.28(20131231),73.7728(20120630),79.9(20120331),81.1357(20111231),84.31(20110630),83.0686(20101231),65.4761(20100630),60.17(20091231),25.3(20080430),,,,,,,,,,,,,,,,,,,,,
155069.SH,18保文02,52.5(20180930),48.5(20180331),45.93(20171231),43(20170930),43(20170630),43.5(20161231),43.5(20160930),43.5(20160630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155070.SH,18大众01,71.1(20180630),70.6(20180331),60.8(20170331),61.8(20161231),50(20160630),51.85(20151231),49.35(20150930),51.65(20141231),48.65(20140930),67.6(20140331),78.35(20131231),76.95(20120930),39.95(20111231),55.155(20100930),53.205(20090930),49.3(20070531),,,,,,,,,,,,,,,,,,,,,,,,,,,
155071.SH,18首置03,1700(20180630),1050(20180331),645(20171231),645(20161231),645(20151231),560(20150630),560(20141231),460(20120331),460(20120229),109.35(20090630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155072.SH,18首置04,1700(20180630),1050(20180331),645(20171231),645(20161231),645(20151231),560(20150630),560(20141231),460(20120331),460(20120229),109.35(20090630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155074.SH,18悦达01,57.91(20180930),53.3(20180630),42.9(20170930),45.6191(20170630),43.465(20160930),52.825(20151231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155076.SH,18宁农01,45.85(20180630),43.36(20171231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155077.SH,18东风03,234(20180930),234(20180331),260(20170630),207(20150319),207(20140930),210(20140331),98(20130514),98(20120930),55(20110930),110(20100331),85(20090630),85(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155078.SH,18东风04,234(20180930),234(20180331),260(20170630),207(20150319),207(20140930),210(20140331),98(20130514),98(20120930),55(20110930),110(20100331),85(20090630),85(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155079.SH,18新大03,220.27(20181031),223.569651(20180630),215.12(20180331),215.12(20171231),195.89(20170930),179.2(20170630),184.210222(20170331),130.319859(20160930),137.7289(20160331),137.5994(20151231),99.7584(20150930),102.1804(20150630),100.1454(20150331),99.04(20141231),109.22(20140930),116.16(20140630),113.2655(20140331),84.55(20130630),85.21(20130331),,,,,,,,,,,,,,,,,,,,,,,,
155080.SH,18汽车G3,630.359835(20180630),629.992518(20180331),871.27(20171231),588.8984(20170930),702.9145(20170331),617.8455(20160930),617.8455(20160630),497.3691(20160331),522.8019(20150930),501.3636(20150630),473.2441(20150331),473.24(20141231),456.55(20140930),443.6872(20140630),435.521(20140331),411.42(20131231),458.3281(20130630),405.04(20130331),380.8203(20120930),322.2777(20120630),297.2079(20120331),244.3921(20111231),216.0754(20110930),221.3804(20110630),,,,,,,,,,,,,,,,,,,
155081.SH,18沱牌01,29.02(20180630),15.2(20160331),11.3(20150331),12.88(20140331),12(20130331),17.34(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155082.SH,18时代13,446.65(20180930),458.7(20180630),455.39(20180331),431.76(20171231),301.93(20161231),260.31(20151231),225.44(20150630),168.89(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155083.SH,18时代14,446.65(20180930),458.7(20180630),455.39(20180331),431.76(20171231),301.93(20161231),260.31(20151231),225.44(20150630),168.89(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
